synapse_id,scenario,regime,A_d_mean,A_p_mean,A_c_mean,A_d_var,A_p_var,A_c_var,A_d_early,A_p_middle,A_c_late,A_global_mean,A_global_var,A_zonal_contrast,A_peak_order_score,P_C,carrier_inward_routing,Y_total_mean,Y_peak_mean,Y_total_integral,Y_temporal_sd,C_total_mean,C_peak_mean,C_temporal_sd,contact_area
0,stress_overlap,productive_activation,0.3668912661306285,0.7786708458465874,0.34083987950095446,0.05905947872225459,0.057798106260587116,0.06835998925055253,0.2802387694917451,0.4112975062037263,0.29146680462237373,0.3685186753135298,0.07534743091779267,0.07188734614021441,0.7815385981571146,0.3973848479491775,0.007089193277392696,0.4271006291545894,0.9695706083097072,5396.7655890779515,0.0032061577796596,0.2802574295802623,1.0,0.0073356795907681,12644.075729849588
1,stress_overlap,productive_activation,0.4335933006709808,0.4618242174318486,0.2723966962556277,0.05487580923842862,0.04682460940082396,0.06758871813541105,0.7740136028490641,0.2713860853765696,0.24802757292466254,0.48879786953091486,0.023659582981763638,0.42700684669793915,0.826530914586433,0.054560588296268364,0.006005745314273465,0.4140491541862837,0.9559003339407162,5232.344455793786,0.0022790474730878,0.27797396887963716,1.0,0.0082796182346634,12644.1519802867
2,stress_overlap,productive_activation,0.1404114603602759,0.10567858816355419,0.24309046944962787,0.052000051411551285,0.029622954579631065,0.046589867679041344,0.6060629956522798,0.4497927987658008,0.0638038278658735,0.22960976971254282,0.06864295344890858,0.297963031201566,0.886577910901892,0.46241515715138914,0.004878104400376689,0.41649408881855426,0.9576780732760904,5266.833471028402,0.0023648774190737,0.27977336049625623,1.0,0.0060249356163104,12643.944402721703
3,stress_overlap,productive_activation,0.5704785880520103,0.4361345534855965,0.32260981903997515,0.057853428671606005,0.04542182945351541,0.06931313049476642,0.5267448297899788,0.28541203273013926,0.4969285969442961,0.5845322997833542,0.04209055481513135,0.34803839758650074,0.6672764128722448,0.3516327693420997,0.006158692296252251,0.4198058576460157,0.963454978009128,5303.994005024724,0.0025704764240165,0.2782222163698259,1.0,0.0066132169275542,12644.055266112886
4,stress_overlap,productive_activation,0.5356541968505367,0.7573029594612244,0.38273957660278596,0.06964397856737058,0.04292635455463245,0.06770041985707682,0.3051274256036901,0.3179132647001055,0.38500807167150103,0.37591773831156844,0.052009661487929265,0.1714902043629319,0.9042566005939657,0.1907669584643016,0.006156843409658713,0.4165115422406628,0.960521220858008,5272.88304321029,0.002175817014774,0.2852322578266569,1.0,0.0081047177695674,12644.042615556042
5,stress_overlap,productive_activation,0.35937045008796964,0.40412014676986896,0.21266124585930002,0.047608713197555885,0.013567526942601306,0.05547565613161079,0.5345248099713116,0.6134465395558859,0.13834410688007184,0.3302110117678774,0.051556451213461314,0.20847371374741538,0.6116186873146614,0.3988958357445097,0.00273933465661407,0.4176321282365499,0.9621377127427674,5281.469181351988,0.0025681685806775,0.2796306202965785,1.0,0.0071161914538903,12644.170996744691
6,stress_overlap,productive_activation,0.3842148644918687,0.5561591184594733,0.25929124485746846,0.04643363452503166,0.02511499603703339,0.06518746891610562,0.6142779536427551,0.4514847825997871,0.2581142257638878,0.4167759897127481,0.0379804614041068,0.24276357800440213,0.7699847608696926,0.24779580751105545,0.003450303697108736,0.41415695217329895,0.960119028179267,5242.7761983021255,0.0024781363940266,0.2825444754332584,1.0,0.007208425814438,12643.9511601523
7,stress_overlap,productive_activation,0.4628925902644349,0.5518860836059318,0.3243910871893606,0.05715863321597669,0.04370915420891196,0.07120868844210479,0.5269678598175568,0.46663764461502744,0.3529737745609153,0.3824404643868647,0.03612259595288034,0.3268091422404958,0.5508883658385622,0.22408374800939754,0.007871126398103927,0.41995376070541685,0.9637899947380728,5302.166335025084,0.0028629312950736,0.2806430547415306,1.0,0.0095204795892849,12644.123600221714
8,stress_overlap,productive_activation,0.3936102607684966,0.5537915665289813,0.31742039265790994,0.05975263315895038,0.03410883977536965,0.05924921060816342,0.5111967745433669,0.6381196329132265,0.5757779008590783,0.30908397147581335,0.050828565842739155,0.21448939151173246,1.0,0.3721166622326789,0.00372940114692266,0.41884990254675647,0.958957914051066,5303.168282307457,0.0024685859859877,0.28302242063201366,1.0,0.0063535500179471,12643.991583466383
9,stress_overlap,productive_activation,0.39797015245808753,0.5333940555591499,0.3251028612554139,0.017089222555511933,0.03269741162160967,0.039764123012071315,0.4955448774014949,0.7522698370877229,0.5056271534570473,0.3650509532726622,0.03611904939843577,0.11870837023179442,0.3413206597037922,0.4411795750178903,0.00784438896369466,0.4126234738612578,0.9564294299766064,5219.965866443824,0.0021466673285317,0.2804461349361822,1.0,0.0099937382294607,12644.095054989279
